symptoms,severity,max_weight,num_symptoms
"mild sunburn, blood in stool, blue lips",RED,7,3
"severe headache, coughing blood, vomiting blood",ORANGE,6,3
"back pain, persistent fatigue",YELLOW,3,2
"dry skin, mild nausea, stuffy nose",GREEN,2,3
"paper cut, blurred vision, slight sore throat",YELLOW,4,3
"poisoning suspected, severe pain",ORANGE,6,2
"sore throat with fever, ear pain, jaundice",YELLOW,4,3
"muscle soreness after exercise, mild body ache",GREEN,2,2
"chemical exposure, sudden weakness, severe back pain radiating",ORANGE,6,3
"vomiting blood, mild anxiety, mild cough, numbness one side, coughing blood",ORANGE,6,5
not breathing,RED,7,1
"blurred vision, persistent fatigue",YELLOW,4,2
"blue lips, severe trauma, stroke symptoms, severe pain",RED,7,4
frequent urination,YELLOW,3,1
"animal bite deep, wheezing, seizure single, insomnia",ORANGE,5,4
"mild stomach discomfort, mild fatigue, occasional heartburn",GREEN,2,3
"watery eyes, gunshot wound, skin rash with fever, not breathing, electrocution, seizure single",RED,7,6
"urinary burning, head injury, difficulty speaking suddenly",ORANGE,6,3
"chapped lips, mild nausea, minor rash",GREEN,2,3
"stuffy nose, diarrhea",YELLOW,3,2
"muscle soreness after exercise, chapped lips",GREEN,2,2
"chest tightness, frequent urination, back pain",YELLOW,4,3
"occasional heartburn, mild fatigue",GREEN,2,2
"runny nose, mild stomach discomfort, dandruff",GREEN,2,3
"sprained ankle, persistent fatigue",YELLOW,3,2
"severe back pain radiating, severe abdominal pain, mild acne, sneezing, confusion",ORANGE,6,5
occasional heartburn,GREEN,2,1
"seizure single, open wound deep, sore throat with fever, sneezing, severe headache",ORANGE,5,5
"chest pain, severe back pain radiating, no pulse detected, high fever, severe head trauma, toothache severe",RED,7,6
"vomiting blood, eye pain, mild stomach discomfort",ORANGE,6,3
"joint pain, high fever, eye pain, minor bruise, mild sunburn",YELLOW,4,5
broken bone visible,ORANGE,6,1
"mild itching, skin rash with fever, ankle swelling, chapped lips, muscle soreness after exercise, jaundice",YELLOW,4,6
"eye pain, dehydration, muscle soreness after exercise, mild headache",YELLOW,4,4
"night sweats, mild cough, chest tightness, fever, minor bruise",YELLOW,4,5
"muscle soreness after exercise, mild fatigue",GREEN,2,2
"choking, blue lips, mild allergies, tension pneumothorax, nausea and vomiting",RED,7,5
"diarrhea, fever, chapped lips",YELLOW,4,3
"night sweats, numbness in fingers, chronic indigestion",YELLOW,4,3
"drug overdose suspected, severe back pain radiating, vomiting blood, dizziness, painful urination, blurred vision",ORANGE,6,6
"high fever with chills, severe dehydration, mild fatigue, common cold",ORANGE,5,4
"joint pain, fever",YELLOW,4,2
"hiccups, minor rash, jaundice, dizziness",YELLOW,4,4
"severe abdominal pain, seizure single, coughing blood",ORANGE,6,3
"hiccups, muscle soreness after exercise",GREEN,2,2
seizure continuous,RED,7,1
"runny nose, minor bruise",GREEN,1,2
not breathing,RED,7,1
"blood in urine, mild headache, joint pain, mild itching",YELLOW,4,4
"mild nausea, hiccups",GREEN,2,2
"cardiac arrest, blue lips, hiccups, no pulse detected",RED,7,4
"high fever, mild allergies",YELLOW,4,2
"mild itching, minor rash, frequent urination",YELLOW,3,3
chemical exposure,ORANGE,6,1
"vomiting, minor mouth ulcer, common cold, diarrhea, dehydration",YELLOW,4,5
"muscle soreness after exercise, numbness in fingers, minor mouth ulcer, back pain, minor fracture pain",YELLOW,4,5
diarrhea,YELLOW,3,1
"runny nose, mild headache, painful urination, dizziness",YELLOW,4,4
"chest pain, diarrhea, severe trauma",RED,7,3
"not breathing, septic shock symptoms",RED,7,2
"dehydration, unconscious, chest pain",RED,7,3
"high fever, blue lips, mild nausea, night sweats",RED,7,4
mild cough,GREEN,1,1
"stuffy nose, mild acne, diarrhea, paper cut",YELLOW,3,4
"minor bruise, mild itching",GREEN,1,2
"massive hemorrhage, not breathing",RED,7,2
"mild acne, mild itching",GREEN,1,2
"sore throat with fever, sprained ankle",YELLOW,4,2
"head injury, mild body ache",ORANGE,6,2
"vomiting blood, minor bruise, severe pain, severe nosebleed",ORANGE,6,4
"seizure continuous, persistent fatigue, confusion, skin infection, anaphylaxis, multi organ failure signs",RED,7,6
"massive hemorrhage, unconscious, stab wound",RED,7,3
"vomiting, blurred vision, severe allergic reaction, numbness one side, facial drooping",ORANGE,6,5
"severe dehydration, severe nosebleed",ORANGE,5,2
"mild headache, tension pneumothorax",RED,7,2
"mild cough, sneezing",GREEN,1,2
"jaundice, mild stomach discomfort, weight loss unintentional, coughing blood",ORANGE,6,4
"nausea and vomiting, muscle cramps, blue lips, mild nausea, heart attack symptoms",RED,7,5
"insomnia, chronic indigestion, high fever, stab wound",RED,7,4
"fever, drowning, seizure continuous",RED,7,3
"broken bone visible, seizure continuous, difficulty breathing, ankle swelling, tension pneumothorax",RED,7,5
"severe abdominal pain, sudden weakness",ORANGE,6,2
"migraine, skin infection",YELLOW,4,2
"mild stomach discomfort, mild cough",GREEN,2,2
"insomnia, hiccups, dehydration, mild bloating, jaundice, frequent urination",YELLOW,4,6
"spinal injury suspected, severe bleeding uncontrolled, blurred vision, chest pain",RED,7,4
"chest tightness, skin infection, gunshot wound, not breathing",RED,7,4
difficulty speaking suddenly,ORANGE,6,1
"stuffy nose, mild anxiety, insomnia",GREEN,2,3
"skin rash with fever, minor rash, muscle soreness after exercise",YELLOW,4,3
"chapped lips, drug overdose suspected, poisoning suspected",ORANGE,6,3
"persistent cough, painful urination, eye pain",YELLOW,3,3
"animal bite deep, severe headache, high fever with chills",ORANGE,5,3
"blood in stool, insomnia, minor fracture pain, heart attack symptoms",RED,7,4
"chemical exposure, severe head trauma, mild itching",RED,7,3
"mild anxiety, mild body ache",GREEN,2,2
"skin infection, mild headache, abdominal pain",YELLOW,4,3
"minor mouth ulcer, mild fatigue, mild stomach discomfort",GREEN,2,3
"muscle cramps, septic shock symptoms",RED,7,2
"severe trauma, cardiac arrest, heart attack symptoms",RED,7,3
"severe asthma attack, frequent urination",ORANGE,6,2
"multi organ failure signs, gunshot wound",RED,7,2
"paper cut, urinary burning, severe back pain radiating, severe burn, mild acne, severe nosebleed",ORANGE,6,6
"back pain, severe dehydration",ORANGE,5,2
"hiccups, mild stomach discomfort, ankle swelling, mild anxiety",YELLOW,3,4
"chest pain, blood in urine, seizure continuous, facial drooping, mild acne",RED,7,5
"severe bleeding uncontrolled, tension pneumothorax, no pulse detected",RED,7,3
"swollen lymph nodes, stroke symptoms, spinal injury suspected",RED,7,3
"chapped lips, weight loss unintentional",YELLOW,4,2
"severe trauma, occasional heartburn, chest tightness, jaundice",RED,7,4
"abdominal pain, broken bone visible",ORANGE,6,2
"minor fracture pain, mild allergies, sore throat with fever",YELLOW,4,3
"dehydration, numbness one side, spinal injury suspected, stuffy nose",RED,7,4
"high fever, not breathing, anaphylaxis, septic shock symptoms",RED,7,4
"jaundice, dry skin, nausea and vomiting, facial drooping",ORANGE,6,4
"common cold, slight sore throat",GREEN,1,2
"nausea and vomiting, drug overdose suspected, dizziness, mild acne, broken bone visible, severe back pain radiating",ORANGE,6,6
"septic shock symptoms, unconscious, ear pain, mild anxiety, dehydration",RED,7,5
"vomiting, hiccups, vomiting blood, sneezing, broken bone visible",ORANGE,6,5
"migraine, vomiting",YELLOW,4,2
"common cold, dry skin, mild constipation",GREEN,2,3
"broken bone visible, insomnia, chapped lips, animal bite deep, confusion",ORANGE,6,5
"paper cut, dry skin, common cold, severe chest tightness",ORANGE,6,4
"hiccups, dandruff",GREEN,1,2
"hiccups, muscle cramps, mild constipation, abdominal pain, eye pain, dry skin",YELLOW,4,6
"mild anxiety, chapped lips",GREEN,2,2
chapped lips,GREEN,1,1
"ankle swelling, insomnia, minor fracture pain, stuffy nose, abdominal pain, mild acne",YELLOW,4,6
"septic shock symptoms, spinal injury suspected, ankle swelling, unconscious",RED,7,4
"slight sore throat, minor mouth ulcer",GREEN,2,2
"wheezing, facial drooping",ORANGE,6,2
"severe bleeding uncontrolled, unconscious, septic shock symptoms",RED,7,3
minor mouth ulcer,GREEN,2,1
"seizure continuous, severe head trauma",RED,7,2
"severe pain, ankle swelling",ORANGE,5,2
"difficulty speaking suddenly, diarrhea, muscle soreness after exercise, muscle cramps, severe allergic reaction, chemical exposure",ORANGE,6,6
"dry skin, blue lips, facial drooping, severe head trauma, drowning",RED,7,5
"mild anxiety, wheezing, insomnia, numbness in fingers, frequent urination",YELLOW,4,5
"mild cough, high fever, nausea and vomiting, sneezing",YELLOW,4,4
mild sunburn,GREEN,2,1
"chapped lips, mild headache, skin infection, mild bloating, night sweats, ankle swelling",YELLOW,4,6
"mild headache, loss of consciousness brief, severe chest tightness, coughing blood",ORANGE,6,4
"common cold, blood in urine, fever, joint pain, mild body ache, watery eyes",YELLOW,4,6
"mild sunburn, dry skin",GREEN,2,2
"severe chest tightness, severe allergic reaction, chemical exposure",ORANGE,6,3
"multi organ failure signs, mild acne, loss of consciousness prolonged",RED,7,3
mild itching,GREEN,1,1
"wheezing, severe burn, slight sore throat, numbness one side, chemical exposure, painful urination",ORANGE,6,6
"mild allergies, paper cut",GREEN,2,2
"mild headache, chapped lips, insomnia",GREEN,2,3
"swollen lymph nodes, ear pain, stuffy nose, severe chest tightness",ORANGE,6,4
"ankle swelling, insomnia, joint pain, migraine",YELLOW,4,4
"chest pain, heart attack symptoms, electrocution",RED,7,3
"multi organ failure signs, anaphylaxis, severe trauma",RED,7,3
"chapped lips, mild fatigue, mild sunburn",GREEN,2,3
"eye injury, fever, dry skin, severe asthma attack",ORANGE,6,4
"severe allergic reaction, diarrhea, eye pain, coughing blood, persistent cough",ORANGE,6,5
"sneezing, dizziness, difficulty breathing",ORANGE,6,3
"persistent fatigue, tension pneumothorax, mild sunburn, high fever with chills",RED,7,4
"runny nose, slight sore throat",GREEN,1,2
"common cold, occasional heartburn",GREEN,2,2
"weight loss unintentional, occasional heartburn, chest pain, migraine",RED,7,4
"joint pain, mild nausea, skin infection",YELLOW,3,3
mild stomach discomfort,GREEN,2,1
"back pain, mild nausea, joint pain, mild sunburn",YELLOW,3,4
chest tightness,YELLOW,4,1
"mild nausea, common cold, mild itching",GREEN,2,3
"no pulse detected, confusion",RED,7,2
"broken bone visible, severe pain, urinary burning, runny nose, severe abdominal pain",ORANGE,6,5
"weight loss unintentional, coughing blood, chapped lips, severe headache",ORANGE,6,4
"chest tightness, insomnia",YELLOW,4,2
"mild itching, runny nose, mild sunburn",GREEN,2,3
"spinal injury suspected, persistent fatigue, persistent headache",RED,7,3
"persistent fatigue, dehydration, fever, mild stomach discomfort",YELLOW,4,4
"minor mouth ulcer, persistent fatigue",YELLOW,3,2
"muscle soreness after exercise, chapped lips",GREEN,2,2
"animal bite deep, numbness one side",ORANGE,6,2
"severe head trauma, dry skin, eye injury",RED,7,3
"urinary burning, joint pain, back pain",YELLOW,4,3
"mild constipation, ear pain",YELLOW,3,2
"severe dehydration, seizure single",ORANGE,5,2
"blurred vision, paper cut, slight sore throat, muscle soreness after exercise",YELLOW,4,4
"mild fatigue, minor bruise, mild sunburn",GREEN,2,3
dry skin,GREEN,1,1
"mild fatigue, hiccups",GREEN,2,2
"migraine, no pulse detected, gunshot wound, stroke symptoms, poisoning suspected",RED,7,5
"joint pain, nausea and vomiting, mild headache, skin rash with fever, mild itching, mild nausea",YELLOW,4,6
"dandruff, severe asthma attack",ORANGE,6,2
confusion,ORANGE,5,1
"dandruff, mild body ache",GREEN,2,2
animal bite deep,ORANGE,5,1
"electrocution, severe trauma, abdominal pain, severe back pain radiating",RED,7,4
chemical exposure,ORANGE,6,1
"mild allergies, insomnia, minor rash",GREEN,2,3
"watery eyes, hiccups",GREEN,1,2
"not breathing, drowning, shortness of breath, severe bleeding uncontrolled, high fever, dehydration",RED,7,6
"persistent fatigue, persistent headache, back pain",YELLOW,3,3
"electrocution, multi organ failure signs",RED,7,2
"chest pain, dizziness, seizure single",RED,7,3
"minor bruise, mild constipation, minor mouth ulcer",GREEN,2,3
"stuffy nose, chest pain, blood in stool",RED,7,3
"high fever, severe headache, minor mouth ulcer, mild headache, severe asthma attack, severe burn",ORANGE,6,6
migraine,YELLOW,4,1
mild constipation,GREEN,2,1
"mild sunburn, swollen lymph nodes, mild bloating, slight sore throat",YELLOW,3,4
"coughing blood, dizziness, severe dehydration, confusion, mild body ache, insomnia",ORANGE,6,6
"mild headache, dizziness, mild sunburn, ankle swelling, persistent headache",YELLOW,4,5
"chest pain, occasional heartburn",RED,7,2
"slight sore throat, dry skin",GREEN,1,2
"tension pneumothorax, electrocution",RED,7,2
"watery eyes, mild allergies",GREEN,2,2
"insomnia, common cold, minor mouth ulcer, persistent cough",YELLOW,3,4
mild headache,GREEN,1,1
"runny nose, mild nausea, minor bruise",GREEN,2,3
"severe dehydration, severe allergic reaction",ORANGE,6,2
minor rash,GREEN,2,1
"minor bruise, mild anxiety",GREEN,2,2
"sneezing, minor mouth ulcer",GREEN,2,2
"occasional heartburn, minor rash",GREEN,2,2
"mild constipation, watery eyes, mild headache",GREEN,2,3
"dandruff, chest tightness, mild body ache, minor fracture pain",YELLOW,4,4
"chapped lips, runny nose, stuffy nose, toothache severe",YELLOW,3,4
mild nausea,GREEN,2,1
"common cold, slight sore throat",GREEN,1,2
"blood in stool, back pain, head injury, minor rash, drug overdose suspected",ORANGE,6,5
"chapped lips, mild allergies",GREEN,2,2
"mild stomach discomfort, blood in urine, head injury, stuffy nose, severe allergic reaction",ORANGE,6,5
"common cold, septic shock symptoms, seizure continuous, blue lips",RED,7,4
"spinal injury suspected, minor fracture pain",RED,7,2
"mild fatigue, mild nausea, common cold",GREEN,2,3
"diabetic emergency, coughing blood",ORANGE,6,2
"dehydration, eye pain",YELLOW,4,2
"chest pain, heart attack symptoms, skin infection",RED,7,3
"confusion, sudden weakness, coughing blood",ORANGE,6,3
"mild body ache, mild cough",GREEN,2,2
"skin infection, mild fatigue, dizziness",YELLOW,4,3
"high fever, severe abdominal pain, severe infection signs, chest tightness, swollen lymph nodes",ORANGE,6,5
hiccups,GREEN,1,1
"high fever with chills, fever, night sweats, severe headache, seizure single",ORANGE,5,5
"mild constipation, choking, cardiac arrest, drug overdose suspected",RED,7,4
"sudden weakness, poisoning suspected, loss of consciousness brief",ORANGE,6,3
"blue lips, massive hemorrhage, anaphylaxis, confusion",RED,7,4
hiccups,GREEN,1,1
"severe chest tightness, sudden weakness, dry skin, blood in urine",ORANGE,6,4
"night sweats, eye injury, mild acne, blurred vision",ORANGE,5,4
severe headache,ORANGE,5,1
"loss of consciousness brief, dehydration, severe asthma attack",ORANGE,6,3
"stab wound, sudden weakness, severe bleeding uncontrolled",RED,7,3
"chest pain, anaphylaxis, gunshot wound",RED,7,3
"high fever, occasional heartburn, watery eyes, numbness in fingers, common cold",YELLOW,4,5
"sore throat with fever, muscle soreness after exercise, stuffy nose, mild stomach discomfort",YELLOW,4,4
"runny nose, mild sunburn, mild cough",GREEN,2,3
"mild constipation, mild acne, wheezing, persistent headache, common cold",YELLOW,4,5
drug overdose suspected,ORANGE,6,1
septic shock symptoms,RED,7,1
"blood in stool, severe pain, hiccups",ORANGE,5,3
"severe burn, mild anxiety",ORANGE,6,2
"severe burn, mild allergies, dandruff, runny nose, sudden weakness, facial drooping",ORANGE,6,6
"mild cough, mild stomach discomfort",GREEN,2,2
"muscle soreness after exercise, loss of consciousness prolonged, dry skin, mild nausea",RED,7,4
"severe infection signs, back pain, night sweats, sprained ankle, confusion",ORANGE,5,5
minor rash,GREEN,2,1
"seizure continuous, choking",RED,7,2
"minor bruise, stuffy nose",GREEN,1,2
"paper cut, minor bruise",GREEN,1,2
"persistent headache, mild anxiety, slight sore throat, mild cough",YELLOW,3,4
"loss of consciousness prolonged, heart attack symptoms, tension pneumothorax",RED,7,3
"mild constipation, mild nausea",GREEN,2,2
mild sunburn,GREEN,2,1
"diarrhea, mild fatigue",YELLOW,3,2
"difficulty speaking suddenly, persistent headache",ORANGE,6,2
"confusion, severe nosebleed, back pain, broken bone visible",ORANGE,6,4
"massive hemorrhage, sprained ankle, stroke symptoms, vomiting blood, choking",RED,7,5
"loss of consciousness prolonged, cardiac arrest, severe bleeding uncontrolled, diarrhea",RED,7,4
"unconscious, numbness one side, stroke symptoms",RED,7,3
"sneezing, skin infection, skin rash with fever, painful urination, minor rash, dandruff",YELLOW,4,6
"mild body ache, minor mouth ulcer, back pain, urinary burning, stuffy nose",YELLOW,4,5
"severe dehydration, minor fracture pain, stab wound",RED,7,3
"vomiting, severe headache, night sweats, sprained ankle",ORANGE,5,4
"diabetic emergency, mild stomach discomfort, severe nosebleed, diarrhea, sudden weakness",ORANGE,6,5
"dizziness, chest tightness, toothache severe, mild sunburn, mild fatigue, chapped lips",YELLOW,4,6
"numbness in fingers, mild acne, broken bone visible",ORANGE,6,3
"dry skin, mild nausea, mild bloating",GREEN,2,3
"hiccups, insomnia",GREEN,2,2
"spinal injury suspected, coughing blood, loss of consciousness prolonged, mild sunburn, muscle soreness after exercise",RED,7,5
"ankle swelling, frequent urination",YELLOW,3,2
"diabetic emergency, migraine, difficulty breathing, dry skin",ORANGE,6,4
"dandruff, high fever, abdominal pain, mild headache, minor fracture pain",YELLOW,4,5
"difficulty speaking suddenly, severe back pain radiating",ORANGE,6,2
"stuffy nose, open wound deep, seizure single",ORANGE,5,3
"minor rash, mild headache, occasional heartburn",GREEN,2,3
"blue lips, multi organ failure signs, mild nausea, gunshot wound",RED,7,4
"poisoning suspected, dandruff, mild acne, vomiting blood, confusion",ORANGE,6,5
"chest pain, multi organ failure signs, massive hemorrhage",RED,7,3
"minor fracture pain, skin infection, chest tightness",YELLOW,4,3
"dehydration, drug overdose suspected",ORANGE,6,2
"severe burn, blood in stool, facial drooping",ORANGE,6,3
"chemical exposure, severe nosebleed, chest tightness, numbness one side",ORANGE,6,4
"muscle soreness after exercise, minor rash",GREEN,2,2
"hiccups, minor mouth ulcer, chapped lips",GREEN,2,3
"ankle swelling, mild allergies, mild nausea, paper cut",YELLOW,3,4
"sore throat with fever, slight sore throat, persistent fatigue, sprained ankle, mild allergies, occasional heartburn",YELLOW,4,6
sneezing,GREEN,1,1
"insomnia, drowning, dehydration, confusion",RED,7,4
"seizure single, muscle cramps, chest tightness",ORANGE,5,3
"sneezing, mild anxiety",GREEN,2,2
multi organ failure signs,RED,7,1
"nausea and vomiting, runny nose",YELLOW,4,2
"occasional heartburn, gunshot wound, loss of consciousness prolonged",RED,7,3
"persistent headache, mild nausea, multi organ failure signs, electrocution",RED,7,4
"migraine, persistent cough, blue lips, animal bite deep",RED,7,4
"joint pain, stroke symptoms, multi organ failure signs",RED,7,3
"severe headache, chapped lips, open wound deep",ORANGE,5,3
"occasional heartburn, mild fatigue, frequent urination, fever, paper cut",YELLOW,4,5
mild body ache,GREEN,2,1
"mild allergies, mild bloating",GREEN,2,2
"occasional heartburn, wheezing, hiccups, confusion",ORANGE,5,4
"spinal injury suspected, drowning, dehydration, eye injury",RED,7,4
"occasional heartburn, minor mouth ulcer",GREEN,2,2
"mild anxiety, dandruff, head injury, severe burn",ORANGE,6,4
electrocution,RED,7,1
"mild acne, mild bloating, muscle soreness after exercise",GREEN,2,3
mild nausea,GREEN,2,1
"mild fatigue, dandruff, hiccups",GREEN,2,3
"dry skin, minor rash, mild fatigue",GREEN,2,3
"minor mouth ulcer, drowning",RED,7,2
"seizure continuous, severe nosebleed, severe dehydration",RED,7,3
"skin rash with fever, dizziness, eye pain",YELLOW,4,3
back pain,YELLOW,3,1
"mild bloating, chapped lips, mild constipation, minor fracture pain",YELLOW,4,4
"stuffy nose, mild allergies, minor mouth ulcer",GREEN,2,3
"chapped lips, nausea and vomiting, open wound deep, severe asthma attack",ORANGE,6,4
"mild itching, vomiting",YELLOW,4,2
"slight sore throat, mild body ache, dizziness, urinary burning",YELLOW,4,4
"open wound deep, mild constipation, cardiac arrest",RED,7,3
"severe trauma, dizziness, stroke symptoms, joint pain, massive hemorrhage",RED,7,5
"dehydration, jaundice",YELLOW,4,2
"severe head trauma, severe trauma, seizure continuous, broken bone visible, watery eyes, eye pain",RED,7,6
migraine,YELLOW,4,1
mild stomach discomfort,GREEN,2,1
"chest pain, tension pneumothorax, unconscious",RED,7,3
"numbness in fingers, head injury",ORANGE,6,2
"heart attack symptoms, massive hemorrhage, severe head trauma, stuffy nose",RED,7,4
"nausea and vomiting, painful urination",YELLOW,4,2
"severe nosebleed, ankle swelling",ORANGE,5,2
"mild anxiety, ear pain, mild allergies, mild cough",YELLOW,3,4
"not breathing, mild body ache, blood in urine",RED,7,3
"drowning, not breathing, minor mouth ulcer",RED,7,3
"mild itching, mild bloating, mild sunburn",GREEN,2,3
"severe head trauma, seizure continuous, stab wound",RED,7,3
"confusion, severe nosebleed",ORANGE,5,2
"common cold, mild allergies",GREEN,2,2
"chronic indigestion, mild cough, sneezing, minor mouth ulcer, diarrhea",YELLOW,3,5
"occasional heartburn, common cold, mild cough",GREEN,2,3
"abdominal pain, dry skin, stuffy nose, watery eyes, jaundice",YELLOW,4,5
"mild allergies, mild itching",GREEN,2,2
"skin rash with fever, severe trauma, anaphylaxis",RED,7,3
"skin infection, mild body ache, hiccups, swollen lymph nodes, fever, mild cough",YELLOW,4,6
"not breathing, severe bleeding uncontrolled",RED,7,2
"dandruff, chapped lips, mild allergies",GREEN,2,3
"mild bloating, mild itching, severe dehydration, night sweats, blood in stool, chemical exposure",ORANGE,6,6
"stuffy nose, swollen lymph nodes, mild sunburn",YELLOW,3,3
paper cut,GREEN,1,1
"mild sunburn, mild itching",GREEN,2,2
"chapped lips, severe head trauma",RED,7,2
"sneezing, insomnia",GREEN,2,2
"not breathing, wheezing, hiccups, stab wound, chest pain",RED,7,5
"blue lips, sneezing, mild itching, severe trauma, coughing blood, anaphylaxis",RED,7,6
"dry skin, mild allergies, ankle swelling, sore throat with fever, muscle cramps",YELLOW,4,5
mild body ache,GREEN,2,1
"mild nausea, chapped lips",GREEN,2,2
"dry skin, persistent fatigue, minor fracture pain",YELLOW,4,3
"muscle cramps, mild itching, mild constipation, mild stomach discomfort, ankle swelling",YELLOW,3,5
"blue lips, severe bleeding uncontrolled",RED,7,2
"massive hemorrhage, vomiting blood, unconscious",RED,7,3
"mild stomach discomfort, choking",RED,7,2
"stab wound, no pulse detected",RED,7,2
"minor mouth ulcer, hiccups, skin rash with fever",YELLOW,4,3
"fever, massive hemorrhage, dizziness, electrocution, drowning, minor bruise",RED,7,6
"drowning, blue lips, septic shock symptoms",RED,7,3
"toothache severe, dehydration, mild allergies, common cold",YELLOW,4,4
"chapped lips, coughing blood",ORANGE,6,2
"difficulty breathing, eye pain",ORANGE,6,2
"dandruff, muscle cramps, chapped lips, mild itching",YELLOW,3,4
"blood in urine, cardiac arrest, ankle swelling, heart attack symptoms, high fever",RED,7,5
dandruff,GREEN,1,1
"mild headache, muscle soreness after exercise, mild cough",GREEN,2,3
"electrocution, head injury, severe trauma, spinal injury suspected",RED,7,4
"minor rash, runny nose, muscle soreness after exercise",GREEN,2,3
cardiac arrest,RED,7,1
"unconscious, seizure continuous",RED,7,2
"watery eyes, blurred vision, severe allergic reaction",ORANGE,6,3
"facial drooping, muscle cramps, abdominal pain",ORANGE,6,3
"chest tightness, watery eyes, chapped lips, jaundice",YELLOW,4,4
"weight loss unintentional, dehydration, muscle cramps, mild cough",YELLOW,4,4
"ear pain, urinary burning",YELLOW,4,2
"mild cough, mild headache, sneezing",GREEN,1,3
"severe back pain radiating, no pulse detected, cardiac arrest, severe asthma attack, stab wound, migraine",RED,7,6
"severe trauma, stroke symptoms, unconscious",RED,7,3
"mild constipation, mild acne",GREEN,2,2
"toothache severe, runny nose",YELLOW,3,2
"severe burn, severe allergic reaction, blood in urine",ORANGE,6,3
"hiccups, severe infection signs, loss of consciousness brief, drug overdose suspected",ORANGE,6,4
"mild sunburn, mild body ache",GREEN,2,2
stuffy nose,GREEN,1,1
"ear pain, dandruff, paper cut, mild constipation, chronic indigestion",YELLOW,3,5
"mild body ache, choking",RED,7,2
"stab wound, mild body ache",RED,7,2
minor mouth ulcer,GREEN,2,1
"hiccups, mild body ache, sneezing, muscle cramps",YELLOW,3,4
"mild nausea, mild cough, minor bruise",GREEN,2,3
"mild acne, mild body ache",GREEN,2,2
"severe head trauma, spinal injury suspected, drowning",RED,7,3
persistent headache,YELLOW,3,1
skin rash with fever,YELLOW,4,1
"mild nausea, stuffy nose",GREEN,2,2
"skin rash with fever, open wound deep, mild bloating, animal bite deep, persistent fatigue, severe infection signs",ORANGE,5,6
high fever,YELLOW,4,1
"sudden weakness, facial drooping, heart attack symptoms, multi organ failure signs, massive hemorrhage",RED,7,5
seizure single,ORANGE,5,1
loss of consciousness prolonged,RED,7,1
electrocution,RED,7,1
"chapped lips, mild anxiety",GREEN,2,2
"sprained ankle, dizziness, severe head trauma, spinal injury suspected, no pulse detected",RED,7,5
"minor rash, runny nose, mild constipation",GREEN,2,3
"muscle soreness after exercise, abdominal pain, back pain",YELLOW,4,3
"mild cough, dandruff",GREEN,1,2
"weight loss unintentional, numbness in fingers, eye pain, slight sore throat, mild anxiety",YELLOW,4,5
"muscle cramps, seizure single, loss of consciousness brief",ORANGE,6,3
blood in stool,ORANGE,5,1
"sneezing, mild acne, mild fatigue",GREEN,2,3
seizure single,ORANGE,5,1
mild body ache,GREEN,2,1
"severe dehydration, watery eyes, mild itching, paper cut, confusion",ORANGE,5,5
mild constipation,GREEN,2,1
"eye injury, poisoning suspected",ORANGE,6,2
"muscle soreness after exercise, mild headache",GREEN,2,2
mild constipation,GREEN,2,1
blue lips,RED,7,1
"severe chest tightness, eye injury, unconscious",RED,7,3
"migraine, skin rash with fever, occasional heartburn, sneezing",YELLOW,4,4
"watery eyes, minor rash, sneezing",GREEN,2,3
"blurred vision, vomiting, minor mouth ulcer, sprained ankle, sneezing",YELLOW,4,5
"skin infection, chapped lips, mild acne",YELLOW,3,3
"mild stomach discomfort, wheezing, weight loss unintentional, mild fatigue",YELLOW,4,4
"hiccups, dry skin",GREEN,1,2
"persistent headache, mild sunburn, skin infection, mild bloating, blood in urine",YELLOW,4,5
"nausea and vomiting, swollen lymph nodes, mild constipation, mild headache, skin infection, mild acne",YELLOW,4,6
"vomiting blood, persistent cough, severe nosebleed, fever",ORANGE,6,4
"watery eyes, minor bruise",GREEN,1,2
"skin infection, severe nosebleed, shortness of breath, urinary burning",ORANGE,6,4
"wheezing, minor fracture pain, sudden weakness",ORANGE,5,3
"skin rash with fever, runny nose, insomnia, mild constipation",YELLOW,4,4
slight sore throat,GREEN,1,1
sneezing,GREEN,1,1
"severe abdominal pain, open wound deep",ORANGE,6,2
"vomiting blood, severe pain, wheezing, jaundice, facial drooping",ORANGE,6,5
"animal bite deep, diabetic emergency, difficulty speaking suddenly",ORANGE,6,3
"sprained ankle, shortness of breath",ORANGE,6,2
"runny nose, chest tightness, night sweats",YELLOW,4,3
"diabetic emergency, drug overdose suspected, loss of consciousness brief",ORANGE,6,3
"wheezing, abdominal pain, skin rash with fever",YELLOW,4,3
slight sore throat,GREEN,1,1
"toothache severe, swollen lymph nodes, night sweats, dandruff",YELLOW,4,4
"muscle soreness after exercise, gunshot wound, mild acne, massive hemorrhage, no pulse detected",RED,7,5
minor mouth ulcer,GREEN,2,1
"mild stomach discomfort, chapped lips, mild constipation",GREEN,2,3
"chemical exposure, severe asthma attack, seizure single",ORANGE,6,3
"cardiac arrest, severe head trauma, severe bleeding uncontrolled",RED,7,3
"blood in stool, loss of consciousness brief, hiccups, severe chest tightness",ORANGE,6,4
"mild stomach discomfort, hiccups, migraine",YELLOW,4,3
"loss of consciousness prolonged, cardiac arrest, vomiting, stroke symptoms, diabetic emergency",RED,7,5
"severe pain, coughing blood",ORANGE,6,2
